species;predictors;Trait_names;IUCN_names;origin;origin3;ncells_summer;ncells_winter;D;ses.z.D;lon_summer;lat_summer;lat_winter;Mig_LatDistance;rangesize_winter;rangesize_summer;nicheBreadth;BodyMass;VertFishScav;Invertebrate;Omnivore;PlantSeed;FruiNect;Flight
Accipiter_brevipes_22695499;clim.land;Accipiter_brevipes;Accipiter_brevipes;Palearctic;WPale;1356;588;0.132800612;5.04595942;45.03060472;45.25589971;10.39965986;34.85623984;1774918.876;2925410.144;5.551582815;186.48;1;0;0;0;0;passive
Accipiter_brevipes_22695499;clim.ndvi;Accipiter_brevipes;Accipiter_brevipes;Palearctic;WPale;1356;588;0.293912107;3.951926033;45.03060472;45.25589971;10.39965986;34.85623984;1774918.876;2925410.144;3.818180246;186.48;1;0;0;0;0;passive
Accipiter_cooperii_22695656;clim.land;Accipiter_cooperii;Accipiter_cooperii;Nearctic;Nearctic;1120;761;0.223521878;9.060412533;-100.0223214;47.36651786;24.5522339;22.81428395;2122070.503;2335916.408;6.63370377;429.67;1;0;0;0;0;passive
Accipiter_cooperii_22695656;clim.ndvi;Accipiter_cooperii;Accipiter_cooperii;Nearctic;Nearctic;1120;761;0.203829356;2.216595213;-100.0223214;47.36651786;24.5522339;22.81428395;2122070.503;2335916.408;5.306396946;429.67;1;0;0;0;0;passive
Accipiter_gularis_22695585;clim.land;Accipiter_gularis;Accipiter_gularis;Palearctic;EPale;2380;1087;0.218155123;4.370387247;117.1621849;49.0512605;12.23298068;36.81827982;3180238.245;4785163.379;5.990969996;120.66;1;0;0;0;0;passive
Accipiter_gularis_22695585;clim.ndvi;Accipiter_gularis;Accipiter_gularis;Palearctic;EPale;2380;1087;0.187445881;4.745926845;117.1621849;49.0512605;12.23298068;36.81827982;3180238.245;4785163.379;4.897101077;120.66;1;0;0;0;0;passive
Accipiter_nisus_22695624;clim.land;Accipiter_nisus;Accipiter_nisus;Palearctic;EPale;9255;4563;0.370524429;5.358172277;96.87220421;58.12071853;26.39332676;31.72739177;12374305.58;14942161.54;5.914038737;220.79;1;0;0;0;0;passive
Accipiter_nisus_22695624;clim.ndvi;Accipiter_nisus;Accipiter_nisus;Palearctic;EPale;9255;4563;0.380476282;3.730529234;96.87220421;58.12071853;26.39332676;31.72739177;12374305.58;14942161.54;4.881748285;220.79;1;0;0;0;0;passive
Accipiter_soloensis_22695503;clim.land;Accipiter_soloensis;Accipiter_soloensis;Palearctic;EPale;870;370;0.280080028;7.356738433;117.2936782;32.39252874;1.743243243;30.64928549;1127939;2242342.185;5.572393134;164.77;1;0;0;0;0;passive
Accipiter_soloensis_22695503;clim.ndvi;Accipiter_soloensis;Accipiter_soloensis;Palearctic;EPale;870;370;0.282552407;3.934444524;117.2936782;32.39252874;1.743243243;30.64928549;1127939;2242342.185;4.793499727;164.77;1;0;0;0;0;passive
Accipiter_striatus_22734130;clim.land;Accipiter_striatus;Accipiter_striatus;Nearctic;Nearctic;3602;1640;0.30769012;19.51317936;-112.1428373;56.17629095;30.42134146;25.75494949;4313428.594;6142455.596;6.807908259;130.59;1;0;0;0;0;passive
Accipiter_striatus_22734130;clim.ndvi;Accipiter_striatus;Accipiter_striatus;Nearctic;Nearctic;3602;1640;0.223545904;2.057591715;-112.1428373;56.17629095;30.42134146;25.75494949;4313428.594;6142455.596;5.74623059;130.59;1;0;0;0;0;passive
Acrocephalus_aedon_22714871;clim.land;Acrocephalus_aedon;Acrocephalus_aedon;Palearctic;EPale;3489;923;0.311953201;3.143423666;110.5876326;50.10955861;18.98510293;31.12445569;2677524.191;6871123.436;5.706786396;22.4;0;1;0;0;0;active
Acrocephalus_aedon_22714871;clim.ndvi;Acrocephalus_aedon;Acrocephalus_aedon;Palearctic;EPale;3489;923;0.119693599;2.568125633;110.5876326;50.10955861;18.98510293;31.12445569;2677524.191;6871123.436;4.362725611;22.4;0;1;0;0;0;active
Acrocephalus_agricola_22714714;clim.land;Acrocephalus_agricola;Acrocephalus_agricola;Palearctic;EPale;4281;437;0.30406281;5.139777573;70.91795141;45.87216772;23.18935927;22.68280845;1234458.835;9133855.643;5.583725788;9.6;0;1;0;0;0;active
Acrocephalus_agricola_22714714;clim.ndvi;Acrocephalus_agricola;Acrocephalus_agricola;Palearctic;EPale;4281;437;0.156064009;1.650514061;70.91795141;45.87216772;23.18935927;22.68280845;1234458.835;9133855.643;4.583649763;9.6;0;1;0;0;0;active
Acrocephalus_arundinaceus_22714745;clim.land;Acrocephalus_arundinaceus;Acrocephalus_arundinaceus;Palearctic;EPale;8334;5794;0.323002772;5.568457263;74.16426686;46.13234941;0.20900932;45.92334009;17349024.31;17666777.84;6.400333976;30;0;1;0;0;0;active
Acrocephalus_arundinaceus_22714745;clim.ndvi;Acrocephalus_arundinaceus;Acrocephalus_arundinaceus;Palearctic;EPale;8334;5794;0.400410857;3.619506147;74.16426686;46.13234941;0.20900932;45.92334009;17349024.31;17666777.84;5.289329518;30;0;1;0;0;0;active
Acrocephalus_bistrigiceps_22714709;clim.land;Acrocephalus_bistrigiceps;Acrocephalus_bistrigiceps;Palearctic;EPale;1447;798;0.239430336;4.13305855;126.766586;43.10901866;18.60025063;24.50876803;2319903.341;3230360.689;5.851512876;8.67;0;1;0;0;0;active
Acrocephalus_bistrigiceps_22714709;clim.ndvi;Acrocephalus_bistrigiceps;Acrocephalus_bistrigiceps;Palearctic;EPale;1447;798;0.091647759;1.938528128;126.766586;43.10901866;18.60025063;24.50876803;2319903.341;3230360.689;4.556107367;8.67;0;1;0;0;0;active
Acrocephalus_concinens_22714719;clim.land;Acrocephalus_concinens;Acrocephalus_concinens;Palearctic;EPale;750;358;0.093092443;3.315109354;104.622;34.17;20.76675978;13.40324022;1028662.135;1907353.868;5.456251968;8.3;0;1;0;0;0;active
Acrocephalus_concinens_22714719;clim.ndvi;Acrocephalus_concinens;Acrocephalus_concinens;Palearctic;EPale;750;358;0.008136475;-0.161041381;104.622;34.17;20.76675978;13.40324022;1028662.135;1907353.868;4.446920245;8.3;0;1;0;0;0;active
Acrocephalus_melanopogon_22714693;clim.land;Acrocephalus_melanopogon;Acrocephalus_melanopogon;Palearctic;WPale;804;467;0.354429799;10.77226059;49.35634328;43.86504975;31.86563169;11.99941806;1218998.075;1784169.257;5.563072909;10.9;0;1;0;0;0;active
Acrocephalus_melanopogon_22714693;clim.ndvi;Acrocephalus_melanopogon;Acrocephalus_melanopogon;Palearctic;WPale;804;467;0.080561441;0.164416799;49.35634328;43.86504975;31.86563169;11.99941806;1218998.075;1784169.257;4.614962771;10.9;0;1;0;0;0;active
Acrocephalus_paludicola_22714696;clim.land;Acrocephalus_paludicola;Acrocephalus_paludicola;Palearctic;EPale;889;66;0.002944495;-0.443571739;71.99092802;55.96594289;15.57575758;40.39018532;195562.0291;1541587.754;5.162238999;11.6;0;1;0;0;0;active
Acrocephalus_paludicola_22714696;clim.ndvi;Acrocephalus_paludicola;Acrocephalus_paludicola;Palearctic;EPale;889;66;0;-0.212264585;71.99092802;55.96594289;15.57575758;40.39018532;195562.0291;1541587.754;2.922421316;11.6;0;1;0;0;0;active
Acrocephalus_palustris_22714741;clim.land;Acrocephalus_palustris;Acrocephalus_palustris;Palearctic;WPale;3140;775;0.143626677;3.826718003;32.67117834;52.01910828;-18.26032258;70.27943086;2252180.798;5931208.886;5.59715111;11.5;0;1;0;0;0;active
Acrocephalus_palustris_22714741;clim.ndvi;Acrocephalus_palustris;Acrocephalus_palustris;Palearctic;WPale;3140;775;0.066207497;0.804975109;32.67117834;52.01910828;-18.26032258;70.27943086;2252180.798;5931208.886;4.278297556;11.5;0;1;0;0;0;active
Acrocephalus_schoenobaenus_22714700;clim.land;Acrocephalus_schoenobaenus;Acrocephalus_schoenobaenus;Palearctic;WPale;6957;5354;0.274812109;4.904765979;48.21535863;56.16282162;-0.810608891;56.97343051;16112990.61;11855044.59;6.140997392;11.83;0;1;0;0;0;active
Acrocephalus_schoenobaenus_22714700;clim.ndvi;Acrocephalus_schoenobaenus;Acrocephalus_schoenobaenus;Palearctic;WPale;6957;5354;0.14622749;0.942729929;48.21535863;56.16282162;-0.810608891;56.97343051;16112990.61;11855044.59;4.819087191;11.83;0;1;0;0;0;active
Acrocephalus_scirpaceus_22714722;clim.land;Acrocephalus_scirpaceus;Acrocephalus_scirpaceus;Palearctic;WPale;4231;2534;0.248373418;14.06164644;37.17767667;47.21809265;7.10359116;40.11450149;7687945.49;8792755.916;5.860648449;12.3;0;1;0;0;0;active
Acrocephalus_scirpaceus_22714722;clim.ndvi;Acrocephalus_scirpaceus;Acrocephalus_scirpaceus;Palearctic;WPale;4231;2534;0.356147633;3.261771252;37.17767667;47.21809265;7.10359116;40.11450149;7687945.49;8792755.916;4.570282658;12.3;0;1;0;0;0;active
Acrocephalus_stentoreus_22714751;clim.land;Acrocephalus_stentoreus;Acrocephalus_stentoreus;Palearctic;EPale;835;1201;0.363854714;7.459405011;65.33982036;38.05359281;23.16548709;14.88810572;3383879.433;2020427.659;5.311032936;24.2;0;1;0;0;0;active
Acrocephalus_stentoreus_22714751;clim.ndvi;Acrocephalus_stentoreus;Acrocephalus_stentoreus;Palearctic;EPale;835;1201;0.176078698;1.037527281;65.33982036;38.05359281;23.16548709;14.88810572;3383879.433;2020427.659;4.296947996;24.2;0;1;0;0;0;active
Actitis_hypoleucos_22693264;clim.land;Actitis_hypoleucos;Actitis_hypoleucos;Palearctic;EPale;14931;11891;0.357044887;4.999852334;80.71785212;55.57214855;3.060444874;52.51170368;34809533.2;25720485.17;6.510385217;48;0;0;1;0;0;active
Actitis_hypoleucos_22693264;clim.ndvi;Actitis_hypoleucos;Actitis_hypoleucos;Palearctic;EPale;14931;11891;0.264299632;1.339902751;80.71785212;55.57214855;3.060444874;52.51170368;34809533.2;25720485.17;5.453838123;48;0;0;1;0;0;active
Actitis_macularius_22693277;clim.land;Actitis_macularius;Actitis_macularius;Nearctic;Nearctic;7206;6620;0.300608321;16.68221176;-107.7906606;52.29537885;-3.206722054;55.50210091;19369902.77;13418983.56;7.410061133;40.4;0;1;0;0;0;active
Actitis_macularius_22693277;clim.ndvi;Actitis_macularius;Actitis_macularius;Nearctic;Nearctic;7206;6620;0.255181777;1.528387278;-107.7906606;52.29537885;-3.206722054;55.50210091;19369902.77;13418983.56;6.413098622;40.4;0;1;0;0;0;active
Aechmophorus_occidentalis_22696631;clim.land;Aechmophorus_occidentalis;Aechmophorus_occidentalis;Nearctic;Nearctic;2053;142;0.045435767;4.18505319;-110.5651486;45.9399659;34.48591549;11.45405041;356883.2525;4380321.832;6.454854207;1136.95;1;0;0;0;0;active
Aechmophorus_occidentalis_22696631;clim.ndvi;Aechmophorus_occidentalis;Aechmophorus_occidentalis;Nearctic;Nearctic;2053;142;0.128429526;2.14928684;-110.5651486;45.9399659;34.48591549;11.45405041;356883.2525;4380321.832;5.594413144;1136.95;1;0;0;0;0;active
Agelaius_phoeniceus_22724191;clim.land;Agelaius_phoeniceus;Agelaius_phoeniceus;Nearctic;Nearctic;2944;165;0.154569395;5.734077668;-105.3367867;53.74762228;27.64090909;26.10671319;449670.0585;5340198.764;6.290228134;50.78;0;0;1;0;0;active
Agelaius_phoeniceus_22724191;clim.ndvi;Agelaius_phoeniceus;Agelaius_phoeniceus;Nearctic;Nearctic;2944;165;0.239263792;3.482738235;-105.3367867;53.74762228;27.64090909;26.10671319;449670.0585;5340198.764;4.893626772;50.78;0;0;1;0;0;active
Aix_galericulata_22680107;clim.land;Aix_galericulata;Aix_galericulata;Palearctic;EPale;727;528;0.217613424;3.370766014;130.8875516;47.60350757;27.60984848;19.99365908;1439782.514;1508682.772;5.404480438;567.04;0;0;0;1;0;active
Aix_galericulata_22680107;clim.ndvi;Aix_galericulata;Aix_galericulata;Palearctic;EPale;727;528;0.046726437;0.83560294;130.8875516;47.60350757;27.60984848;19.99365908;1439782.514;1508682.772;3.853494234;567.04;0;0;0;1;0;active
Aix_sponsa_22680104;clim.land;Aix_sponsa;Aix_sponsa;Nearctic;Nearctic;1022;290;0.163197629;6.432738363;-92.1276908;47.5797456;36.16724138;11.41250422;715159.7692;2121980.07;6.373837707;657.59;0;0;0;1;0;active
Aix_sponsa_22680104;clim.ndvi;Aix_sponsa;Aix_sponsa;Nearctic;Nearctic;1022;290;0.148398262;3.857183966;-92.1276908;47.5797456;36.16724138;11.41250422;715159.7692;2121980.07;5.022834797;657.59;0;0;0;1;0;active
Alca_torda_22694852;clim.land;Alca_torda;Alca_torda;Nearctic;Nearctic;341;82;0.229924687;8.163545081;-51.63123167;62.40835777;47.31097561;15.09738216;171177.7127;480990.0376;6.426625552;725.99;1;0;0;0;0;active
Alca_torda_22694852;clim.ndvi;Alca_torda;Alca_torda;Nearctic;Nearctic;341;82;0.049458444;2.149147545;-51.63123167;62.40835777;47.31097561;15.09738216;171177.7127;480990.0376;5.418438177;725.99;1;0;0;0;0;active
